documento,nombre,tipo_persona,empresa,email,username
1112480168,Alejandro Romero Cárdenas,aprendiz,SENA,alejandro.cardenas@sena.edu.co,
1116993829,Óscar Díaz Moreno,instructor,SENA,oscar.moreno@sena.edu.co,omoreno
1125464087,Natalia Peña Rojas,instructor,SENA,natalia.rojas@sena.edu.co,nrojas
1022534474,Samuel Peña Vega,visitante,Gobierno,,
1013498178,Marco Aguilar Morales,instructor,SENA,marco.morales@sena.edu.co,mmorales
1090597113,Diana Aguilar Herrera,aprendiz,SENA,diana.herrera@sena.edu.co,
1126247030,Carolina Valencia Jiménez,contratista,Empresa XYZ,carolina.jimenez@example.com,cjimenez
15403355,Alejandro Díaz Martínez,vigilante,Compañía de Aseo Integral,alejandro.martinez@example.com,amartinez
1064033920,Leonardo Rodríguez Bermúdez,visitante,Ministerio de Educación,,
1187761199,Mauricio Gómez Aguilar,aprendiz,SENA,mauricio.aguilar@sena.edu.co,
1192832551,Camila Acosta Acosta,aprendiz,SENA,camila.acosta@sena.edu.co,
1006892998,Diego Ramírez Vega,aprendiz,SENA,diego.vega@sena.edu.co,
1027353922,Patricia Ortiz Martínez,visitante,Ministerio de Educación,,
